inputs,prediction,expected_output,score,cost
"Passage: Following a rare tie with the Minnesota Vikings 26-26 at Lambeau Field, the Packers travelled to Ford Field to take on the Detroit Lions on Thanksgiving football. Due to Matt Flynn's performance the previous week, he replaces Scott Tolzien and makes his first start for the Packers in the 2013 season. The Lions' opening possession ended at the Green Bay 12 when Clay Matthews forced a Reggie Bush fumble that was recovered by Morgan Burnett. However, the Packers could not capitalize, and the Lions drew first blood with a 27-yard field goal. Following a kickoff that went out-of-bounds, the Packers answered with a 54-yard field goal to tie it at 3-3. The Packers quickly struck again when Nick Perry forced a Matthew Stafford fumble that was returned by Morgan Burnett for a TD for a 10-3 lead. The Lions answered by scoring two TDs, first a 5-yard TD pass to Jeremy Ross, then a 1-yard run by Reggie Bush. Detroit had opportunities for more points before the half, but David Akers missed a 31-yard field goal as the 1st half expired, keeping a 17-10 lead. Following a 3-and-out on Green Bay's opening possession in the 3rd quarter, the Lions scored on a 20-yard TD pass to Calvin Johnson, extending their lead 24-10. Late in the 3rd quarter, Ndamukong Suh sacked Matt Flynn in the endzone, forcing a safety that made it 26-10. The Lions capitalized on their next possession with a 1-yard run by Joique Bell. They followed that up with a 20-yard TD pass to Kevin Ogletree, which extended their lead 40-10. The Packers tried to rally with a 56-yard pass to James Jones, but Matt Flynn fumbled the snap on the next play, and Detroit recovered and ran out the clock. This loss marked Matthew Stafford's first career win against the Packers. It also snapped the Lions' 10-year losing streak on Thanksgiving Day. With the loss, the Packers fell to 5-6-1.
Question: How many points difference was there in the Vikings and Packers game?
Answer:",0,0|30,1.0,0.010070999999999997
"Passage: In the city, the population was spread out with 12.0% under the age of 18, 55.2% from 18 to 24, 15.3% from 25 to 44, 10.3% from 45 to 64, and 7.1% who were 65 years of age or older.  The median age was 22 years. For every 100 females, there were 160.7 males.  For every 100 females age 18 and over, there were 173.2 males.
Question: Which age group had the most people?
Answer:","The age group with the most people is from 18 to 24, comprising 55.2% of the population.",18 to 24,0.35294117647058826,0.008954549999999997
"Passage: The 10th Cavalry returned from the Philippines in late 1902 and settled down in different posts in the south western United States. Patrols and garrison life was the routine for the regiment. Under war plans, the 10th was designated for service in the Pacific and support in the Philippines from 1915 through 1942 but never rotated there. The 9th Cavalry Regiment  became ""Park Rangers"" in 1905 for Yosemite National Park and other state and federal lands. The Troopers' Campaign Hat, sporting the ""Montana Pinch"" used to help shed the tropical downpours. That ""Montana Pinch"" gave the hat the distinctive look we recognize today as the ""Smokey Bear Hat"".
Question: How many years after the 10th Cavalry returned from the Philippines did the 9th Cavalry Regiment become Park Rangers for Yosemite National Park?
Answer:",3 years,3|0,0.6666666666666666,0.012100649999999998
"Passage: In 2010, 47.3 million people who lived in the EU were born outside their resident country. This corresponds to 9.4% of the total EU population. Of these, 31.4 million (6.3%) were born outside the EU and 16.0 million (3.2%) were born in another EU member state. The largest absolute numbers of people born outside the EU were in Germany (6.4 million), France (5.1 million), the United Kingdom (4.7 million), Spain (4.1 million), Italy (3.2 million), and the Netherlands (1.4 million).
Question: Were more people born in the United Kingdom or Italy?
Answer:","Yes, more people were born in the United Kingdom than in Italy.",the United Kingdom|United Kingdom,0.3076923076923077,0.010135199999999997
"Passage: He has been Man of the Match 13 times in Test matches and Man of the Series four times, out of them twice in the Border-Gavaskar Trophy against Australian cricket team. The performances earned him respect from Australian cricket fans and players. Similarly he has been Man of the Match 62 times in One day International matches and Man of the Series 15 times. He became the first batsman to score 12,000, 13,000, 14,000 and 15,000 runs in Test cricket, having also been the third batsman and the first Indian to pass 11,000 runs in that form of the game. He was also the first player to score 10,000 runs in one-day internationals, and also the first player to cross every subsequent 1000-run mark that has been crossed in ODI cricket history. In the fourth Test of the Australian cricket team in India in 2008-09 against Australia at Nagpur on 6 November 2008, Tendulkar surpassed Australias Allan Border to become the player to cross the 50-run mark the most number of times in Test cricket history, and also the second ever player to score 11 Test centuries against Australia, tying with Sir Jack Hobbs of England more than 70 years previously. On 8 November 2011, Tendulkar became the first batsman to score 15,000 runs in Test Cricket.
Question: How many times has Tendulkar been Man of the Match in all matches?
Answer:",75,75|13,1.0,0.011775899999999997
"Passage: Coming off their bye week, the Chargers went home for a Week 10 AFC West duel with the Kansas City Chiefs.  In the first quarter, San Diego trailed early as Chiefs QB Tyler Thigpen completed a 30-yard TD pass to WR Mark Bradley.  In the second quarter, the 'Bolts got on the board as kicker Nate Kaeding got a 34-yard and a 26-yard field goal.  Kansas City would close out the half as Thigpen completed a 34-yard TD pass to TE Tony Gonzalez (with a failed 2-point conversion). In the third quarter, the Chargers tied the game as QB Philip Rivers completed a 5-yard TD pass to WR Malcom Floyd.  In the fourth quarter, San Diego took the lead as Rivers completed an 8-yard TD pass to TE Antonio Gates.  The Chiefs tried to rally as Thigpen completed a 3-yard TD pass to Gonzalez after a very controversial Pass Interference call on Safety Clinton Hart, in which Gonzalez did not look for a flag, making the call even more controversial.  Fortunately, the Chargers' defense stopped both the 2-point conversion and the ensuing onside kick to preserve their much-needed victory.
Question: What was the shortest pass for a touchdown?
Answer:",3-yard TD pass from Tyler Thigpen to Tony Gonzalez,3-yard|3,0.19999999999999998,0.010782449999999996
"Passage: Hoping to rebound from their tough road loss to the Patriots, the Chiefs hosted their AFC West rival, the Oakland Raiders.  In the first quarter, Kansas City trailed early as Raiders kicker Sebastian Janikowski got a 56-yard and a 25-yard field goal. Chiefs quarterback Damon Huard suffered a neck injury in the first quarter and Tyler Thigpen substituted as quarterback for the remainder of the game. Huard was in for Kansas City's first two series, but didn't return after throwing an interception late in the second quarter. Marques Hagans, who was listed on the Chiefs' roster as a wide receiver, checked in as quarterback for several draw plays. The Chiefs announced at the end of the third quarter that Huard sustained ""mild head trauma,"" a move deemed controversial as Huard never sought medical attention in the following days. Under Thigpen, the Chiefs' offense struggled to move the ball down the field. In using three quarterbacks, the Chiefs had only 65 net yards at halftime. Raiders RB Darren McFadden got a 19-yard TD run in the third quarter. Oakland increased its lead with Janikowski nailing a 40-yard field goal in the fourth quarter. The Chiefs would respond with rookie QB Tyler Thigpen completing a 2-yard TD pass to TE Tony Gonzalez, Kansas City executed a two-point conversion pass to rookie FB Mike Cox to make them within 8 points with just over five minutes remaining. The Chiefs' two-point conversion was the team's first in two years. Kansas City lost its opportunity to tie the game as the Raiders pulled away with RB Michael Bush getting a 32-yard TD run. The Chiefs' defense allowed the third-highest total yards on offense in franchise history. JaMarcus Russell completed only 6 of 17 passes for 55&#160;yards and led the Raiders to a 15-point victory. Following the game, Chiefs RB Larry Johnson voiced his displeasure with the Chiefs' offense and his role with the team. With the loss, the Chiefs fell to an 0-2 record for the third consecutive year. Kansas City's 11-game losing streak (2007-2008) is the longest in franchise history. The Chiefs also lost their second consecutive game to the Raiders for the first time since 2001.
Question: How many total yards did JaMarcus Russell's completed passes add up to?
Answer:","JaMarcus Russell completed 6 passes for a total of 55 yards. Therefore, the total yards from his completed passes is simply 55 yards. The average yards per pass, as you calculated, is approximately 9.17 yards per pass, but the total yards from his completed passes is 55 yards.",55,0.044444444444444446,0.012369299999999998
"Passage: In the county, the population is spread out with 24.60% under the age of 18, 6.40% from 18 to 24, 22.80% from 25 to 44, 25.40% from 45 to 64, and 20.80% who are 65 years of age or older.  The median age is 42 years.  For every 100 females there are 95.90 males.  For every 100 females age 18 and over, there are 90.50 males.
Question: How many in percent weren't 45 to 64?
Answer:",74.60%,74.6,0.0,0.012250799999999997
"Passage: The Chargers began their 2008 campaign at home against the Carolina Panthers.  After a scoreless first quarter, the Panthers pounced first as kicker John Kasay got a 44-yard field goal.  The Chargers would take the lead with QB Philip Rivers completing a 44-yard TD pass to WR Chris Chambers, yet Carolina would take the halftime lead as Kasay nailed a 33-yard and a 30-yard field goal.  In the third quarter, San Diego got the lead with kicker Nate Kaeding getting a 27-yard field goal, yet the Panthers regained the lead with CB Chris Gamble returning a fumble 31 yards for a touchdown.  In the fourth quarter, Carolina increased its lead with Kasay nailing a 49-yard field goal.  Afterwards, the Chargers got the lead again with Rivers completing a 24-yard TD pass to TE Antonio Gates and a 5-yard TD pass to WR Vincent Jackson.  Unfortunately for San Diego, Panthers QB Jake Delhomme threw the game-winning 14-yard TD pass to TE Dante Rosario as time expired. With the surprising loss, San Diego began its season at 0-1.
Question: How many yards was the shortest field goal of the game?
Answer:",27 yards,27,0.6666666666666666,0.007698899999999997
"Passage: Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week 16 duel with the Houston Texans.  Oakland would get the early lead in the first quarter as quarterback JaMarcus Russell completed a 20-yard touchdown pass to rookie wide receiver Chaz Schilens.  The Texans would respond with fullback Vonta Leach getting a 1-yard touchdown run, yet the Raiders would answer with kicker Sebastian Janikowski getting a 33-yard and a 30-yard field goal.  Houston would tie the game in the second quarter with kicker Kris Brown getting a 53-yard and a 24-yard field goal. Oakland would take the lead in the third quarter with wide receiver Johnnie Lee Higgins catching a 29-yard touchdown pass from Russell, followed up by an 80-yard punt return for a touchdown.  The Texans tried to rally in the fourth quarter as Brown nailed a 40-yard field goal, yet the Raiders' defense would shut down any possible attempt.
Question: How many yards longer was the longest field goal than the shortest?
Answer:",29 yards,29,0.6666666666666666,0.011860949999999997
"Passage: With the end of the ""crack epidemic"" in the mid-1990s and with the initiation of aggressive policing under mayors David Dinkins and subsequently  Rudolph Giuliani, crime in Harlem plummeted. In 1981, 6,500 robberies were reported in Harlem; robberies dropped to 4,800 in 1990 during David Dinkins mayoralty. By 2000, only 1,700 robberies were reported, and by 2010, only 1,100 were reported. There have been similar changes in all categories of crimes tracked by the New York City Police Department. In the 32nd Precinct, which services Central Harlem above 127th Street, for example, between 1990 and 2013, the murder rate dropped 89.4%, the rape rate dropped 67.5%, the robbery rate dropped 74.2%, burglary dropped 93.4%, and the total number of crime complaints dropped 77.6%.
Question: Which crime saw the largest percentage decrease between 1990 and 2013?
Answer:",93.4%,burglary,0.0,0.011395799999999996
"Passage: The census of 2000 showed there were 137,893 people, 58,110 households, and 31,321 families residing in the city of Eugene. The population density was 3,404.8 people per square mile (1,314.5/km²). There were 61,444 housing units at an average density of 1,516.4 per square mile (585.5/km²). The racial makeup of the city was 88.15% White, down from 99.5% in 1950, 3.57% Asian, 1.25% Black or African American, 0.93% Native American, 0.21% Pacific Islander, 2.18% from other races, and 3.72% from two or more races. 4.96% of the population were Hispanic or Latino of any race.
Question: How many percent of people were not from 2 or more races?
Answer:",96.28%,96.28,1.0,0.012174899999999997
"Passage: The Buccaneers hosted the Titans at Raymond James Stadium, their second inter-conference matchup in two weeks. Buccaneers running back Earnest Graham was a part of the starting lineup for the first time in his career, replacing the injured Michael Pittman, who sat out the game. The first half was a defensive struggle, with neither team scoring in the first quarter. Early in the second quarter, Tennessee drove to the Buccaneers 32-yard line, but quarterback Vince Young fumbled the ball and the Buccaneers recovered. Jeff Garcia connected on a 39-yard pass play to Michael Clayton, to help set up a 23-yard Matt Bryant field goal, the first points of the game. Moments later, Phillip Buchanon intercepted Vince Young with 1:29 remaining in the half, to maintain a 3-0 halftime lead. Tennessee took the second half kickoff, and executed a 12-play, 45-yard drive which resulted in a 48-yard field goal by Rob Bironas. On their next possession, Vince Young ran out of bounds, and suffered a strained quad. He would have to leave the game, and was replaced by Kerry Collins. On Tampa Bay's next drive, Garcia connected with Joey Galloway for a 69-yard touchdown catch. On the ensuing drive Ronde Barber intercepted a pass by Kerry Collins, but it ruled incomplete after review. With less than four minutes remaining in regulation, Collins drove the Titans to the Buccaneers 23-yard line. For the second time, Ronde Barber intercepted Collins, this time in the endzone, but it was again ruled incomplete after review. The drive continued, and with 1:24 remaining, LenDale White tied the game 10-10 with a touchdown run. With only one timeout, Garcia drove the Buccaneers 55 yards on seven plays. With 11 seconds remaining, Matt Bryant kicked a game-winning 43-yard field goal.
Question: How much time was left when the game was tied?
Answer:",The game is tied with 1:24 remaining.,1:24|11|1:24 remaining|11 seconds,0.5,0.012557249999999997
"Passage: Coming off their easy road win over the Rams, the Bears flew to the Hubert H. Humphrey Metrodome for a Week 13 NFC North rematch with the Minnesota Vikings, with first place in the division on the line.  In the first quarter, Chicago struck first as QB Kyle Orton completed a 65-yard TD pass to WR Devin Hester.  In the second quarter, the Vikings responded with kicker Ryan Longwell getting a 23-yard field goal, while QB Gus Frerotte completed a 99-yard TD pass to former Bears WR Bernard Berrian and got a 1-yard TD run. In the third quarter, Chicago tried to rally as Orton completed a 2-yard TD pass to rookie RB Matt Fort&#233;, yet Minnesota answered with RB Chester Taylor getting a 21-yard TD run.  In the fourth quarter, the Vikings pulled away as RB Adrian Peterson got a 1-yard TD run, while Longwell nailed a 27-yard field goal.
Question: How many total yards did Kyle Orton throw for touchdowns?
Answer:",67 yards,67|65,0.6666666666666666,0.013337099999999998
"Passage: Brandenburg-Prussia's claims in Silesia were based, in part, on a 1537 inheritance treaty between the Silesian duke Frederick II of Legnica and the Hohenzollern Prince-Elector Joachim II Hector of Brandenburg, whereby the Silesian duchies of Liegnitz, Wohlau and Brieg were to pass to the Electorate of Brandenburg if the Silesian Piasts should become extinct. At the time, the Habsburg King Ferdinand I of Bohemia  immediately rejected the agreement; nevertheless, in 1675 the ""Great Elector"" Frederick William of Brandenburg laid claim to the Silesian principalities when, with the death of Duke George William of Liegnitz, the Piast line ended. In 1603, Hohenzollern Elector Joachim III Frederick of Brandenburg also inherited the Silesian Duchy of Jägerndorf from his cousin, Margrave George Frederick of Brandenburg-Ansbach. After the Bohemian Revolt and the outbreak of the Thirty Years' War, however, the Catholic Holy Roman Emperor Ferdinand II confiscated the possessions of the Protestant Hohenzollerns in his Bohemian lands in 1621 after winning the Battle of White Mountain. The Electors of Brandenburg continued, nevertheless, to assert themselves as the legitimate rulers of Jägerndorf. Brandenburg, however, was unable to enforce these dynastic territorial claims. In 1685, when Austria was engaged in the Great Turkish War, Emperor Leopold I gave Elector Frederick William immediate control of the Silesian exclave of Schwiebus in return for military support against the Turks and the surrender of the outstanding Hohenzollern claims in Silesia. However, after the accession of the Elector's son and successor, Frederick III of Brandenburg, the Emperor took back control of Schwiebus in 1694, asserting that the territory had only been personally assigned to the late Frederick William for life. Furious, Frederick III in turn reasserted the old Hohenzollern claims to Jägerndorf and the Silesian Piast heritage.
Question: How many years before Austria was engaged in the Great Turkish War was the battle of white mountain won?
Answer:",63,64,0.0,0.010870199999999995
"Passage: The states with the largest estimated Chinese American populations, according to both the 2010 United States Census, were California (1,253,100; 3.4%), New York (state) (577,000; 3.0%), Texas (157,000; 0.6%), New Jersey (134,500; 1.5%), Massachusetts (123,000; 1.9%), Illinois (104,200; 0.8%), Washington (state) (94,200; 1.4%), Pennsylvania (85,000; 0.7%), Maryland (69,400; 1.2%), Virginia (59,800; 0.7%), and Ohio (51,033; 0.5%). The state of Hawaii has the highest concentration of Chinese Americans at 4.0%, or 55,000 people.
Question: Which state listed had the second highest number of Chinese Americans?
Answer:","577,000",New York|California,0.0,0.009388799999999997
"Passage: After a tough loss at home, the Bengals would remain at home for a game against the Bears.  In the first quarter, the Bears took an early lead when Jordan Howard ran for a 21-yard touchdown (with a failed PAT) to make it 6-0.  The Bengals however took the lead later on in the quarter when Andy Dalton found Brandon LaFell on a 14-yard pass to make it 7-6.  The Bears retook the lead in the second quarter when Mike Nugent kicked 2 field goals:  From 34 and 27 yards out to make it 9-7 and then 12-7 at halftime.  The Bears then shut out the Bengals the entire second half while they score themselves:  In the third quarter Mitchell Trubisky ran for a 4-yard touchdown to make it 19-7 for the only score of the third quarter.  In the fourth quarter, they wrapped up the scoring when Trubisky found Adam Shaheen on a 1-yard pass to make it 26-7.  Howard then ran for an 8-yard touchdown to make the final score 33-7. With the loss, the Bengals dropped to 5-8.  The team is also assured their second straight non-winning season.
Question: How many yards was the first touchdown of the game?
Answer:",The first touchdown of the game was a 21-yard run by Jordan Howard.,21,0.0,0.008365799999999996
"Passage: More than 5,000 US troops of General John J. Pershing's forces, including elements of the 7th Cavalry and the African-American U.S. 10th Cavalry Regiment, entered Mexico in hot pursuit of Villa. The campaign consisted primarily of dozens of minor skirmishes with small bands of insurgents. Gen. Pershing failed to catch up to Villa. On 21 June 1916, two troops of the 10th, totaling 92 troopers, attacked Mexican Federal Army troops in an engagement in the Battle of Carrizal, Chihuahua. 12 US troops were killed and 23 taken prisoner; 45 Federales were casualties, including the Mexican general Gomez. The engagement nearly precipitated open war with the Mexican government , but both governments immediately moved to lessen tensions and open negotiations for US withdrawal, preventing war. The prisoners were repatriated at El Paso, Texas by the Carrancista government.
Question: Which side suffered more casualties, the Federales or the Americans?
Answer:",The Federales suffered more casualties.,the Federales|Federales,0.4,0.010462649999999995
"Passage: Succession is now regulated by laws passed by the National Diet. The current law excludes women from the succession. A change to this law had been considered until Princess Kiko gave birth to a son. Until the birth of Prince Hisahito, son of Prince Akishino, on September 6, 2006, there was a potential succession problem, since Prince Akishino was the only male child to be born into the imperial family since 1965. Following the birth of Princess Aiko, there was public debate about amending the current Imperial Household Law to allow women to succeed to the throne. In January 2005, Prime Minister Junichiro Koizumi appointed a special panel composed of judges, university professors, and civil servants to study changes to the Imperial Household Law and to make recommendations to the government. The panel dealing with the succession issue recommended on October 25, 2005, amending the law to allow females of the male line of imperial descent to ascend the Japanese throne. On January 20, 2006, Prime Minister Junichiro Koizumi devoted part of his annual keynote speech to the controversy, pledging to submit a bill allowing women to ascend the throne to ensure that the succession continues in the future in a stable manner. Shortly after the announcement that Princess Kiko was pregnant with her third child, Koizumi suspended such plans. Her son, Prince Hisahito, is the third in line to the throne under the current law of succession. On January 3, 2007, Prime Minister Shinzō Abe announced that he would drop the proposal to alter the Imperial Household Law.
Question: How many years after the panel was formed was the proposal dismissed?
Answer:",Approximately 2 years,2,0.5,0.011140499999999996
"Passage: The Broncos' defense surrendered only three field goals by Texans' placekicker Nick Novak, and spoiled quarterback Brock Osweiler's return to Denver, allowing only 131 passing yards. Osweiler spent the previous four seasons (2012-2015) as Peyton Manning's backup quarterback, and started seven games in 2015 while Manning was injured. The Broncos scored three offensive touchdowns: a 4-yard pass from quarterback Trevor Siemian to Demaryius Thomas, plus two rushing touchdowns, one from C. J. Anderson, and the other from rookie Devontae Booker. Placekicker Brandon McManus also added two field goals. This was the first of two games in which the Broncos wore wear their alternate navy blue uniforms&#8212;the other was Week 15 vs. the New England Patriots. This was Broncos' head coach Gary Kubiak's first victory against the Texans, for whom he coached from 2006-2013, as well as Kubiak's return to the sideline following a health scare that forced him to miss the team's Week 6 loss to the San Diego Chargers. During halftime, three former Broncos were inducted into the Ring of Fame: Placekicker Jason Elam, who played with the Broncos from 1993-2007 and is the franchise's all-time leader in field goals (395) and points scored (1,786); defensive lineman Simon Fletcher, who played with the Broncos from 1985-1995 and is the franchise's all-time leader in sacks (97.5) and consecutive games played (172); safety John Lynch, who played four seasons with the Broncos from 2004-2007.
Question: Which quarterback threw more touchdowns?
Answer:","Trevor Siemian threw more touchdowns than Brock Osweiler. Siemian threw one touchdown pass to Demaryius Thomas, while Osweiler did not throw any touchdowns.",Trevor Siemian,0.16,0.011686349999999996
"Passage: Švitrigaila was losing his influence in the Slavic principalities and could no longer resist Poland and Sigismund. On 4 September 1437 he attempted to reconcile with Poland: he would rule the lands that still backed him , and after his death these territories would pass to the King of Poland. However, under strong protest from Sigismund, the Polish Senate declined to ratify the treaty . In 1438 Švitrigaila withdrew to Moldavia. The reign of Sigismund Kęstutaitis was brief — he was assassinated in 1440. Švitrigaila returned from exile in 1442 and ruled Lutsk until his death a decade later. Jogaila's son Casimir IV Jagiellon, born in 1426, received approval as a hereditary hospodar from Lithuania's ruling families in 1440. This event is seen by the historians Jerzy Lukowski and Hubert Zawadzki as marking the end of the succession dispute.
Question: How many years did Švitrigaila withdrew to Moldavia before returned from exile and ruled Lutsk?
Answer:",4 years,4,0.6666666666666666,0.011211299999999995
